Frame_0.png -152,8854 -293,778 -317,7528 0,5664307 0,08449064 2,647697
Frame_1.png -150,8734 -294,3629 -318,4436 0,5678979 0,08347358 2,65476
Frame_2.png -148,5844 -295,016 -319,2289 0,5695583 0,0823157 2,662778
Frame_3.png -146,7096 -295,5416 -319,8716 0,5709107 0,08136754 2,66933
Frame_4.png -144,843 -296,0546 -320,5108 0,5722609 0,0804235 2,675844
Frame_5.png -142,4173 -296,7083 -321,3409 0,5740111 0,07919654 2,684291
Frame_6.png -140,6431 -297,179 -321,9474 0,5752823 0,07829897 2,690454
Frame_7.png -138,9059 -297,6321 -322,5407 0,5765277 0,07742067 2,69648
Frame_8.png -136,8398 -298,1614 -323,2458 0,5780095 0,0763761 2,703639
Frame_9.png -135,2103 -298,5739 -323,8013 0,5791696 0,07555263 2,70927
Frame_10.png -133,5887 -298,9783 -324,3537 0,5803253 0,07473343 2,71487
Frame_11.png -131,6546 -299,4527 -325,0118 0,5817031 0,07375744 2,721535
Frame_12.png -130,0738 -299,8382 -325,549 0,5828198 0,07296017 2,726976
Frame_13.png -128,5459 -300,2032 -326,0679 0,5839064 0,07218988 2,732228
Frame_14.png -126,6898 -300,6444 -326,6974 0,5852154 0,07125542 2,738599
Frame_15.png -125,2029 -300,9929 -327,2012 0,5862646 0,07050745 2,743694
Frame_16.png -123,7578 -301,3287 -327,6902 0,5872823 0,06978159 2,748641
Frame_17.png -122,0097 -301,7318 -328,2811 0,5885106 0,06890451 2,754619
Frame_18.png -120,5974 -302,0525 -328,7581 0,589504 0,06819674 2,759439
Frame_19.png -119,2179 -302,367 -329,223 0,5904675 0,06750708 2,764143
Frame_20.png -117,5681 -302,7367 -329,7788 0,5916246 0,06668296 2,769762
Frame_21.png -116,2515 -303,0344 -330,2213 0,592538 0,06602775 2,77424
Frame_22.png -114,9444 -303,3235 -330,6605 0,593453 0,06537697 2,778682
Frame_23.png -113,4126 -303,6665 -331,174 0,5945144 0,06461834 2,783881
Frame_24.png -112,1742 -303,9388 -331,5889 0,5953778 0,0640044 2,78808
Frame_25.png -110,9778 -304,2055 -331,9889 0,5962043 0,06341458 2,79213
Frame_26.png -109,547 -304,5207 -332,4668 0,5971972 0,06270958 2,796973
Frame_27.png -108,3895 -304,7785 -332,8524 0,5979944 0,06214264 2,800884
Frame_28.png -107,248 -305,032 -333,2324 0,5987812 0,06158432 2,804739
Frame_29.png -105,8185 -305,3475 -333,7075 0,599768 0,06088703 2,809558
Frame_30.png -104,7351 -305,5915 -334,0666 0,6005101 0,06036178 2,81321
Frame_31.png -103,6339 -305,8349 -334,4315 0,6012697 0,05982788 2,816916
Frame_32.png -102,3254 -306,1333 -334,8634 0,6021628 0,05919906 2,821318
