117.746,-280.575,343.599,117.746,-280.575,343.599;
118.029,-280.871,343.403,117.869,-280.841,343.59;
118.284,-280.975,343.293,118.009,-281.15,343.58;
118.301,-281.41,343.381,118.124,-281.409,343.572;
118.189,-281.327,343.165,118.237,-281.671,343.565;
118.302,-281.763,343.137,118.385,-282.017,343.554;
118.393,-282.096,343.241,118.494,-282.277,343.547;
118.448,-282.29,343.184,118.6,-282.536,343.54;
118.697,-282.69,343.112,118.726,-282.849,343.532;
118.872,-282.85,343.008,118.826,-283.102,343.525;
119.172,-283.242,343.045,118.925,-283.357,343.518;
119.042,-283.602,343.381,119.044,-283.666,343.511;
118.969,-284.12,343.463,119.14,-283.927,343.504;
119.243,-284.123,343.358,119.234,-284.18,343.498;
119.354,-284.427,343.36,119.348,-284.497,343.491;
119.453,-284.667,343.34,119.439,-284.755,343.485;
119.507,-284.938,343.332,119.528,-285.01,343.48;
119.534,-285.26,343.323,119.635,-285.325,343.473;
119.702,-285.517,343.318,119.723,-285.583,343.468;
119.759,-285.774,343.275,119.809,-285.843,343.462;
119.792,-286.245,343.317,119.911,-286.156,343.456;
119.839,-286.522,343.286,119.993,-286.415,343.451;
119.974,-286.747,343.275,120.074,-286.671,343.446;
120.068,-287.03,343.253,120.17,-286.983,343.441;
120.218,-287.219,343.249,120.248,-287.237,343.436;
120.216,-287.474,343.212,120.324,-287.49,343.432;
120.307,-287.832,343.232,120.413,-287.796,343.427;
120.425,-288.09,343.212,120.487,-288.05,343.423;
120.486,-288.38,343.206,120.559,-288.305,343.419;
120.515,-288.776,343.205,120.651,-288.628,343.413;
120.604,-289.022,343.225,120.72,-288.882,343.41;
120.697,-289.286,343.218,120.791,-289.139,343.406;
120.768,-289.647,343.209,120.875,-289.459,343.402;
120.869,-289.906,343.194,120.953,-289.755,343.398;
120.849,-290.167,343.183,121.02,-290.01,343.394;
120.87,-290.472,343.147,121.099,-290.327,343.39;
120.947,-290.696,343.1,121.164,-290.584,343.387;
121.094,-290.909,343.128,121.228,-290.839,343.384;
121.14,-291.212,343.082,121.304,-291.153,343.38;
121.289,-291.492,343.061,121.365,-291.408,343.377;
121.32,-291.709,343.04,121.425,-291.662,343.375;
121.408,-292.041,343.009,121.499,-291.982,343.371;
121.483,-292.301,343.02,121.558,-292.238,343.369;
121.532,-292.624,343.006,121.616,-292.494,343.366;
121.638,-292.898,343.002,121.685,-292.804,343.363;
121.687,-293.157,343,121.743,-293.068,343.361;
121.738,-293.425,343.007,121.798,-293.319,343.358;
121.78,-293.741,343,121.864,-293.628,343.356;
121.84,-294.027,342.977,121.918,-293.89,343.354;
121.884,-294.356,342.998,121.972,-294.142,343.352;
122.004,-294.623,342.971,122.036,-294.452,343.349;
122.005,-294.921,342.986,122.087,-294.706,343.348;
122.11,-295.153,342.991,122.136,-294.957,343.346;
122.192,-295.488,342.985,122.198,-295.264,343.344;
122.155,-295.834,342.987,122.247,-295.513,343.342;
122.297,-296.066,343.006,122.295,-295.761,343.341;
122.479,-296.432,343.109,122.352,-296.07,343.339;
122.369,-296.565,342.981,122.399,-296.317,343.338;
122.542,-296.668,342.969,122.444,-296.56,343.336;
122.634,-297.036,342.992,122.502,-296.863,343.335;
122.686,-297.292,342.956,122.545,-297.104,343.334;
122.729,-297.472,342.937,122.595,-297.38,343.332;
122.638,-297.673,342.886,122.648,-297.683,343.331;
122.705,-297.933,342.928,122.691,-297.925,343.33;
122.84,-298.145,342.941,122.734,-298.165,343.329;
122.914,-298.401,342.922,122.788,-298.468,343.328;
122.931,-298.649,342.954,122.83,-298.719,343.327;
123.038,-298.97,343.051,122.871,-298.963,343.327;
123.025,-299.233,343.042,122.922,-299.271,343.326;
123.18,-299.495,343.085,122.964,-299.525,343.325;
123.213,-299.794,343.088,123.005,-299.768,343.325;
123.138,-300.118,343.13,123.055,-300.072,343.324;
123.131,-300.352,343.149,123.095,-300.314,343.323;
123.138,-300.633,343.183,123.136,-300.558,343.323;
123.165,-300.98,343.201,123.183,-300.859,343.323;
123.237,-301.24,343.226,123.219,-301.1,343.323;
